,src,dst,label
0,0,398,1
1,1,398,1
2,2,398,1
3,3,398,1
4,4,398,1
5,5,398,1
6,6,398,1
7,7,398,1
8,8,398,1
9,9,398,1
10,10,398,1
11,11,398,1
12,12,398,1
13,13,398,1
14,14,398,1
15,15,398,1
16,16,398,1
17,17,398,1
18,18,398,1
19,19,398,1
20,20,398,1
21,21,398,1
22,22,398,1
23,23,398,1
24,24,398,1
25,25,398,1
26,26,398,1
27,27,398,1
28,28,398,1
29,29,398,1
30,30,398,1
31,31,398,1
32,32,398,1
33,33,398,1
34,34,398,1
35,35,398,1
36,36,398,1
37,37,398,1
38,38,398,1
39,39,398,1
40,40,398,1
41,41,398,1
42,42,398,1
43,43,398,1
44,44,398,1
45,45,398,1
46,46,398,1
47,47,398,1
48,48,398,1
49,49,398,1
50,50,398,1
51,51,398,1
52,52,398,1
53,53,398,1
54,54,398,1
55,55,398,1
56,56,398,1
57,57,398,1
58,58,398,1
59,59,398,1
60,60,398,1
61,61,398,1
62,62,398,1
63,63,398,1
64,64,398,1
65,65,398,1
66,66,398,1
67,67,398,1
68,68,398,1
69,69,398,1
70,70,398,1
71,71,398,1
72,72,398,1
73,73,398,1
74,74,398,1
75,75,398,1
76,76,398,1
77,77,398,1
78,78,398,1
79,79,398,1
80,80,398,1
81,81,398,1
82,82,398,1
83,83,398,1
84,84,398,1
85,85,398,1
86,86,398,1
87,87,398,1
88,88,398,1
89,89,398,1
90,90,398,1
91,91,398,1
92,92,398,1
93,93,398,1
94,94,398,1
95,95,398,1
96,96,398,1
97,97,398,1
98,98,398,1
99,99,398,1
100,100,398,1
101,101,398,1
102,102,398,1
103,103,398,1
104,104,398,1
105,105,398,1
106,106,398,1
107,107,398,1
108,108,398,1
109,109,398,1
110,110,398,1
111,111,398,1
112,112,398,1
113,113,398,1
114,114,398,1
115,115,398,1
116,116,398,1
117,117,398,1
118,118,398,1
119,119,398,1
120,120,398,1
121,121,398,1
122,122,398,1
123,123,398,1
124,124,398,1
125,125,398,1
126,126,398,1
127,127,398,1
128,128,398,1
129,129,398,1
130,130,398,1
131,131,398,1
132,132,398,1
133,133,398,1
134,134,398,1
135,135,398,1
136,136,398,1
137,137,398,1
138,138,398,1
139,139,398,1
140,140,398,1
141,141,398,1
142,142,398,1
143,143,398,1
144,144,398,1
145,145,398,1
146,146,398,1
147,147,398,1
148,148,398,1
149,149,398,1
150,150,398,1
151,151,398,1
152,152,398,1
153,153,398,1
154,154,398,1
155,155,398,1
156,156,398,1
157,157,398,1
158,158,398,1
159,159,398,1
160,160,398,1
161,161,398,1
162,162,398,1
163,163,398,1
164,164,398,1
165,165,398,1
166,166,398,1
167,167,398,1
168,168,398,1
169,169,398,1
170,170,398,1
171,171,398,1
172,172,398,1
173,173,398,1
174,174,398,1
175,175,398,1
176,176,398,1
177,177,398,1
178,178,398,1
179,179,398,1
180,180,398,1
181,181,398,1
182,182,398,1
183,183,398,1
184,184,398,1
185,185,398,1
186,186,398,1
187,187,398,1
188,188,398,1
189,189,398,1
190,190,398,1
191,191,398,1
192,192,398,1
193,193,398,1
194,194,398,1
195,195,398,1
196,196,398,1
197,197,398,1
198,198,398,1
199,199,398,1
200,200,398,1
201,201,398,1
202,202,398,1
203,203,398,1
204,204,398,1
205,205,398,1
206,206,398,1
207,207,398,1
208,208,398,1
209,209,398,1
210,210,398,1
211,211,398,1
212,212,398,1
213,213,398,1
214,214,398,1
215,215,398,1
216,216,398,1
217,217,398,1
218,218,398,1
219,219,398,1
220,220,398,1
221,221,398,1
222,222,398,1
223,223,398,1
224,224,398,1
225,225,398,1
226,226,398,1
227,227,398,1
228,228,398,1
229,229,398,1
230,230,398,1
231,231,398,1
232,232,398,1
233,233,398,1
234,234,398,1
235,235,398,1
236,236,398,1
237,237,398,1
238,238,398,1
239,239,398,1
240,240,398,1
241,241,398,1
242,242,398,1
243,243,398,1
244,244,398,1
245,245,398,1
246,246,398,1
247,247,398,1
248,248,398,1
249,249,398,1
250,250,398,1
251,251,398,1
252,252,398,1
253,253,398,1
254,254,398,1
255,255,398,1
256,256,398,1
257,257,398,1
258,258,398,1
259,259,398,1
260,260,398,1
261,261,398,1
262,262,398,1
263,263,398,1
264,264,398,1
265,265,398,1
266,266,398,1
267,267,398,1
268,268,398,1
269,269,398,1
270,270,398,1
271,271,398,1
272,272,398,1
273,273,398,1
274,274,398,1
275,275,398,1
276,276,398,1
277,277,398,1
278,278,398,1
279,279,398,1
280,280,398,1
281,281,398,1
282,282,398,1
283,283,398,1
284,284,398,1
285,285,398,1
286,286,398,1
287,287,398,1
288,288,398,1
289,289,398,1
290,290,398,1
291,291,398,1
292,292,398,1
293,293,398,1
294,294,398,1
295,295,398,1
296,296,398,1
297,297,398,1
298,298,398,1
299,299,398,1
300,300,398,1
301,301,398,1
302,302,398,1
303,303,398,1
304,304,398,1
305,305,398,1
306,306,398,1
307,307,398,1
308,308,398,1
309,309,398,1
310,310,398,1
311,311,398,1
312,312,398,1
313,313,398,1
314,314,398,1
315,315,398,1
316,316,398,1
317,317,398,1
318,318,398,1
319,319,398,1
320,320,398,1
321,321,398,1
322,322,398,1
323,323,398,1
324,324,398,1
325,325,398,1
326,326,398,1
327,327,398,1
328,328,398,1
329,329,398,1
330,330,398,1
331,331,398,1
332,332,398,1
333,333,398,1
334,334,398,1
335,335,398,1
336,336,398,1
337,337,398,1
338,338,398,1
339,339,398,1
340,340,398,1
341,341,398,1
342,342,398,1
343,343,398,1
344,344,398,1
345,345,398,1
346,346,398,1
347,347,398,1
348,348,398,1
349,349,398,1
350,350,398,1
351,351,398,1
352,352,398,1
353,353,398,1
354,354,398,1
355,355,398,1
356,356,398,1
357,357,398,1
358,358,398,1
359,359,398,1
360,360,398,1
361,361,398,1
362,362,398,1
363,363,398,1
364,364,398,1
365,365,398,1
366,366,398,1
367,367,398,1
368,368,398,1
369,369,398,1
370,370,398,1
371,371,398,1
372,372,398,1
373,373,398,1
374,374,398,1
375,375,398,1
376,376,398,1
377,377,398,1
378,378,398,1
379,379,398,1
380,380,398,1
381,381,398,1
382,382,398,1
383,383,398,1
384,384,398,1
385,385,398,1
386,386,398,1
387,387,398,1
388,388,398,1
389,389,398,1
390,390,398,1
391,391,398,1
392,392,398,1
393,393,398,1
394,394,398,1
395,395,398,1
396,396,398,1
397,397,398,1
398,398,6,1
399,398,3286,1
400,398,21,1
401,398,42,1
402,398,26,1
403,398,33,1
404,398,75,1
405,398,18,1
406,398,9,1
407,398,24,1
408,398,273,1
409,398,36,1
410,398,44,1
411,398,11,1
