,src,dst,label
1,0,483,1
2,1,483,1
3,2,483,1
4,3,483,1
5,4,483,1
6,5,483,1
7,6,483,1
8,7,483,1
9,8,483,1
10,9,483,1
11,10,483,1
12,11,483,1
13,12,483,1
14,13,483,1
15,14,483,1
16,15,483,1
17,16,483,1
18,17,483,1
19,18,483,1
20,19,483,1
21,20,483,1
22,21,483,1
23,22,483,1
24,23,483,1
25,24,483,1
26,25,483,1
27,26,483,1
28,27,483,1
29,28,483,1
30,29,483,1
31,30,483,1
32,31,483,1
33,32,483,1
34,33,483,1
35,34,483,1
36,35,483,1
37,36,483,1
38,37,483,1
39,38,483,1
40,39,483,1
41,40,483,1
42,41,483,1
43,42,483,1
44,43,483,1
45,44,483,1
46,45,483,1
47,46,483,1
48,47,483,1
49,48,483,1
50,49,483,1
51,50,483,1
52,51,483,1
53,52,483,1
54,53,483,1
55,54,483,1
56,55,483,1
57,56,483,1
58,57,483,1
59,58,483,1
60,59,483,1
61,60,483,1
62,61,483,1
63,62,483,1
64,63,483,1
65,64,483,1
66,65,483,1
67,66,483,1
68,67,483,1
69,68,483,1
70,69,483,1
71,70,483,1
72,71,483,1
73,72,483,1
74,73,483,1
75,74,483,1
76,75,483,1
77,76,483,1
78,77,483,1
79,78,483,1
80,79,483,1
81,80,483,1
82,81,483,1
83,82,483,1
84,83,483,1
85,84,483,1
86,85,483,1
87,86,483,1
88,87,483,1
89,88,483,1
90,89,483,1
91,90,483,1
92,91,483,1
93,92,483,1
94,93,483,1
95,94,483,1
96,95,483,1
97,96,483,1
98,97,483,1
99,98,483,1
100,99,483,1
101,100,483,1
102,101,483,1
103,102,483,1
104,103,483,1
105,104,483,1
106,105,483,1
107,106,483,1
108,107,483,1
109,108,483,1
110,109,483,1
111,110,483,1
112,111,483,1
113,112,483,1
114,113,483,1
115,114,483,1
116,115,483,1
117,116,483,1
118,117,483,1
119,118,483,1
120,119,483,0
121,120,483,0
122,121,483,0
123,122,483,0
124,123,483,0
125,124,483,0
126,125,483,0
127,126,483,0
128,127,483,0
129,128,483,0
130,129,483,0
131,130,483,0
132,131,483,0
133,132,483,0
138,11,1081,1
139,133,1081,1
140,106,1081,1
141,134,1081,1
142,44,1081,1
143,135,1081,1
144,136,1081,1
145,14,1081,1
146,42,1081,1
147,103,1081,1
148,4,1081,1
149,21,1081,1
150,137,1081,1
151,8,1081,1
152,138,1081,1
153,139,1081,1
154,140,1081,1
155,141,1081,1
156,41,1081,1
157,45,1081,1
158,142,1081,1
159,143,1081,1
160,144,1081,1
161,145,1081,1
162,54,1081,1
163,146,1081,1
164,147,1081,1
165,26,1081,1
166,148,1081,1
167,149,1081,1
168,150,1081,1
169,151,1081,1
170,40,1081,1
171,152,1081,1
172,153,1081,1
173,46,1081,1
174,51,1081,1
175,154,1081,1
176,155,1081,1
177,85,1081,1
178,112,1081,1
179,77,1081,1
180,99,1081,1
181,30,1081,1
182,58,1081,1
183,156,1081,1
184,2,1081,1
185,122,1081,1
186,157,1081,1
187,158,1081,1
188,159,1081,1
189,160,1081,1
190,161,1081,1
191,162,1081,1
192,28,1081,1
193,163,1081,1
194,18,1081,1
195,65,1081,1
196,164,1081,1
197,165,1081,1
198,166,1081,1
199,167,1081,1
200,168,1081,1
201,15,1081,1
202,169,1081,1
203,170,1081,1
204,67,1081,1
205,111,1081,1
206,48,1081,1
207,52,1081,1
208,68,1081,1
209,114,1081,1
210,171,1081,1
211,172,1081,1
212,173,1081,1
213,174,1081,1
214,132,1081,1
215,175,1081,1
216,176,1081,1
217,73,1081,1
218,177,1081,1
219,178,1081,1
220,75,1081,1
221,32,1081,1
222,179,1081,1
223,25,1081,1
224,49,1081,1
225,180,1081,1
226,181,1081,1
227,29,1081,1
228,124,1081,1
229,182,1081,1
230,183,1081,1
231,184,1081,1
232,94,1081,1
233,185,1081,1
234,110,1081,1
235,186,1081,1
236,187,1081,1
237,188,1081,1
238,189,1081,1
239,97,1081,1
240,190,1081,1
241,191,1081,1
242,100,1081,1
243,192,1081,1
244,53,1081,1
245,9,1081,1
246,193,1081,1
247,194,1081,1
248,195,1081,1
249,196,1081,1
250,13,1081,1
251,197,1081,1
252,198,1081,1
253,80,1081,1
254,128,1081,1
255,199,1081,1
256,101,1081,1
257,200,1081,1
258,201,1081,1
259,23,1081,1
260,202,1081,1
261,203,1081,1
262,86,1081,1
263,91,1081,1
264,50,1081,1
265,204,1081,1
266,83,1081,1
267,205,1081,1
268,96,1081,1
269,206,1081,1
270,207,1081,1
271,60,1081,1
272,121,1081,0
273,208,1081,0
275,209,325,1
276,210,325,1
277,184,325,1
278,111,325,1
279,211,325,1
280,212,325,1
281,213,325,1
282,177,325,1
283,214,325,1
284,2,325,1
285,215,325,1
286,216,325,1
287,71,325,1
288,217,325,1
289,218,325,1
290,78,325,1
291,23,325,1
292,43,325,1
293,20,325,1
294,219,325,1
295,220,325,1
296,122,325,1
297,40,325,1
298,221,325,1
299,222,325,1
300,223,325,1
301,224,325,1
302,51,325,1
303,225,325,1
304,226,325,1
305,202,325,1
306,4,325,1
307,15,325,1
308,8,325,1
309,59,325,1
310,227,325,1
311,228,325,1
312,110,325,1
313,229,325,1
314,230,325,1
315,10,325,1
316,42,325,1
317,112,325,1
318,231,325,1
319,232,325,1
320,233,325,1
321,62,325,1
322,234,325,1
323,235,325,1
324,30,325,1
325,236,325,1
326,237,325,1
327,238,325,1
328,52,325,1
329,239,325,1
330,240,325,1
331,151,325,1
332,241,325,1
333,60,325,1
334,242,325,1
335,243,325,1
336,244,325,1
337,245,325,1
338,203,325,1
339,153,325,1
340,246,325,1
341,91,325,1
342,247,325,1
343,75,325,1
344,41,325,1
345,106,325,1
346,248,325,1
347,249,325,1
348,69,325,1
349,250,325,1
350,53,325,1
351,251,325,1
352,252,325,1
353,253,325,1
354,254,325,1
355,255,325,1
356,256,325,1
357,257,325,1
358,258,325,1
359,259,325,1
360,260,325,1
361,96,325,1
362,261,325,1
363,95,325,1
364,262,325,1
365,263,325,1
366,147,325,1
367,264,325,1
368,265,325,1
369,266,325,1
370,267,325,1
371,191,325,1
372,268,325,1
373,269,325,1
374,270,325,1
375,132,325,1
376,57,325,1
377,271,325,1
378,272,325,1
379,204,325,1
380,45,325,1
381,83,325,1
382,143,325,1
383,273,325,0
384,11,325,0
385,274,325,0
386,126,325,0
387,275,325,0
388,121,325,0
389,44,325,0
390,128,325,0
391,276,325,0
392,277,325,0
393,278,325,0
394,279,325,0
395,163,325,0
396,280,325,0
397,26,325,0
398,39,325,0
399,14,325,0
400,281,325,0
401,32,325,0
402,282,325,0
403,27,325,0
404,283,325,0
405,284,325,0
406,285,325,0
407,286,325,0
408,127,325,0
409,287,325,0
410,288,325,0
411,289,325,0
412,290,325,0
421,291,2,1
422,240,2,1
423,292,2,1
424,132,2,1
425,211,2,1
426,226,2,1
427,57,2,1
428,51,2,1
429,11,2,1
430,145,2,1
431,15,2,1
432,185,2,1
433,224,2,1
434,293,2,1
435,69,2,1
436,44,2,1
437,247,2,1
438,260,2,1
439,20,2,1
440,189,2,1
441,4,2,1
442,294,2,1
443,16,2,1
444,9,2,1
445,295,2,1
446,296,2,1
447,232,2,1
448,52,2,1
449,26,2,1
450,297,2,1
451,298,2,1
452,150,2,1
453,103,2,1
454,202,2,1
455,53,2,1
456,136,2,1
457,299,2,1
458,169,2,1
459,300,2,1
460,301,2,1
461,144,2,1
462,302,2,1
463,160,2,1
464,10,2,1
465,246,2,1
466,303,2,1
467,42,2,1
468,102,2,1
469,186,2,1
470,75,2,1
471,100,2,1
472,151,2,1
473,91,2,1
474,18,2,1
475,304,2,1
476,305,2,1
477,112,2,1
478,67,2,1
479,223,2,1
480,306,2,1
481,307,2,1
482,143,2,1
483,34,2,1
484,50,2,1
485,308,2,1
486,66,2,1
487,96,2,1
488,203,2,1
489,251,2,1
490,285,2,1
491,309,2,1
492,217,2,1
493,59,2,1
494,110,2,1
495,204,2,1
496,56,2,1
497,41,2,1
498,249,2,1
499,73,2,1
500,259,2,1
501,49,2,1
502,197,2,1
503,199,2,1
504,14,2,1
505,310,2,1
506,177,2,1
507,180,2,1
508,311,2,1
509,312,2,1
510,313,2,1
511,93,2,1
512,262,2,1
513,314,2,1
514,258,2,1
515,97,2,1
516,122,2,1
517,78,2,1
518,183,2,1
519,101,2,1
520,315,2,1
521,58,2,1
522,275,2,0
523,277,2,0
524,5,2,0
525,316,2,0
526,317,2,0
527,318,2,0
528,27,2,0
529,198,2,0
531,258,10283,1
532,18,10283,1
533,44,10283,1
534,216,10283,1
535,219,10283,1
536,319,10283,1
537,240,10283,1
538,36,10283,1
539,320,10283,1
540,224,10283,1
541,61,10283,1
542,132,10283,1
543,204,10283,1
544,51,10283,1
545,151,10283,1
546,4,10283,1
547,321,10283,1
548,322,10283,1
549,49,10283,1
550,271,10283,1
551,185,10283,1
552,323,10283,1
553,8,10283,1
554,324,10283,1
555,325,10283,1
556,326,10283,1
557,102,10283,1
558,327,10283,1
559,217,10283,1
560,30,10283,1
561,328,10283,1
562,101,10283,1
563,215,10283,1
564,246,10283,1
565,203,10283,1
566,40,10283,1
567,329,10283,1
568,109,10283,1
569,330,10283,1
570,331,10283,1
571,91,10283,1
