SRC,TGT,VOT
9255,972,1
2229,972,1
4467,972,1
2022,972,1
6519,972,1
9421,972,1
8021,972,1
8315,972,1
1731,972,1
9084,972,1
8708,972,1
2630,972,1
5989,972,1
5458,972,1
3910,972,1
4139,972,1
9469,972,1
6293,972,1
7783,972,1
3438,972,1
7176,972,1
8980,972,1
2918,972,1
1312,972,1
2414,972,1
8242,972,1
1356,972,1
8775,972,1
9987,972,1
7045,972,1
6971,972,1
1659,972,1
6718,972,1
10664,972,1
6128,972,1
2715,972,1
9054,972,1
4121,972,1
1914,972,1
7725,972,1
7548,972,1
9231,972,1
10723,972,1
2392,972,1
905,972,1
8437,972,1
20,972,1
10456,972,1
3035,972,1
2363,972,1
10128,972,1
5831,972,1
5586,972,1
4587,972,1
10603,972,1
4564,972,1
9891,972,1
1462,972,1
5430,972,1
10553,972,1
8174,972,1
10200,972,1
5548,972,1
9311,972,1
7309,972,1
5577,972,1
7614,972,1
8346,972,1
4517,972,1
6339,972,1
8253,972,1
5281,972,1
8660,972,1
7603,972,1
2603,972,1
6693,972,1
10250,972,1
1606,972,1
7966,972,1
3394,972,1
6640,972,1
6520,972,1
612,972,1
3870,972,1
7526,972,1
2576,972,1
9577,972,1
6984,972,1
532,972,1
5732,972,1
9903,972,1
2764,972,1
8584,972,1
9145,972,1
7120,972,1
4419,972,1
5994,972,1
291,972,1
9042,972,1
6578,972,1
10110,972,1
8143,972,1
6319,972,1
5572,972,1
9734,972,1
1285,972,1
9017,972,1
10891,972,1
7674,972,1
3224,972,1
3860,972,1
8095,972,1
10117,972,1
8524,972,1
2949,972,1
103,972,1
2902,972,1
9337,972,1
710,972,1
6083,972,-1
8439,972,-1
2060,972,-1
5205,972,-1
4343,972,-1
2316,972,-1
1511,972,-1
5046,972,-1
4522,972,-1
4598,972,-1
8077,972,-1
5332,972,-1
10409,972,-1
5425,972,-1
4892,972,0
670,972,0
3367,972,0
9306,972,0
2630,1213,1
7857,1213,1
9017,1213,1
9718,1213,1
905,1213,1
4437,1213,1
4219,1213,1
3910,1213,1
10723,1213,1
5572,1213,1
6519,1213,1
8980,1213,1
5984,1213,1
1731,1213,1
3973,1213,1
9471,1213,1
7828,1213,1
630,1213,1
9231,1213,1
8437,1213,1
3366,1213,1
3765,1213,1
9990,1213,1
10895,1213,1
10603,1213,1
10492,1213,1
3916,1213,1
1356,1213,1
979,1213,1
8600,1213,1
2675,1213,1
5027,1213,1
7548,1213,1
9306,1213,1
9833,1213,1
20,1213,1
5831,1213,1
